,0,0
Extinction,4.427469118722123,3.9499250461178966e-07
Scattering,4.427461031595908,2.459024109444618e-15
SSA,1.0003669988205586,1.9023861184762104e-11
Asym,0.9806567452701149,1.92040409964239e-08
coating,0.4,0.0
core_dia,20000.0,10.0
n_core,2.7679999999999993,1.06636
k_core,1.0022799999999996,5e-09
n_shell,2.094,1.172
k_shell,0.73,1.0627777777777778e-09
density,2.6,1.25
lambda,100000.0,100.0
x,628.3185307179587,0.0003141592653589793
